NoFilter,,,,,,,,,
Unité : Nombre,,,,,,,,,
"Source : Ministère de l'Enseignement Supérieur , de la Recherche Scientifique",,,,,,,,,
Etudiants réguliers inscrits,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Droit,19319,18793,17688,16889,15615,14594,13869,14583,14449
,,,,,,,,,
Sciences sociales et du comportement,16607,16208,17911,18328,16284,16540,16446,16307,15842
Mathématiques et statistiques,5451,4982,4720,4113,3468,3189,2628,2570,2237
Sciences informatiques et télécommunications,48275,43493,39930,37149,30993,28490,27150,26173,26889
Sciences de la vie,8427,8497,8487,7872,7335,7309,6775,6108,5957
,,,,,,,,,
,,,,,,,,,
Architecture et bâtiment,7442,7188,7167,7006,6363,6105,5986,5823,5684
Ingénierie et techniques apparentées,47635,45576,44932,45331,40664,37216,35114,34435,35950
,,,,,,,,,
,,,,,,,,,
Santé,22308,20958,20989,20529,20610,19480,19482,19177,
