"NoFilter";"";"";"";"";"";"";"";""
"Unité : Pourcentage";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";""
"Taux de chômage des diplômés de l’enseignement supérieur selon le genre";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"troisième-trimestre 2021";"quatrième-trimestre 2021";"première-trimestre 2022";"deuxième-trimestre 2022";"troisième-trimestre 2022";"quatrième-trimestre 2022";"première-trimestre 2023";"deuxième-trimestre 2023"
"Taux de chômage des diplômés de l’enseignement supérieur";"25.1";"22.7";"23.3";"22.8";"24.3";"24.0";"23.1";"23.7"
"Masculin";"15.8";"14.1";"14.6";"13.0";"15.2";"15.7";"15.2";"14.9"
"Féminin";"33.1";"30.4";"31.0";"31.5";"32.0";"30.8";"29.4";"31.0"
